id,id_conta,id_cliente,tipo_chave,valor_chave,data_registro,ativa
9c091f0f-712e-4afd-8b6f-3b9856c32eb7,2d71ccdc-55b9-49f8-8ba7-f24953ca310f,dde6deab-0d47-42f6-8b9b-fdaf1362c864,EMAIL,joão.nascimento65@hotmail.com,06/06/2023,1
2cf89d56-3762-49f9-85e5-f21d42bba3c3,2d71ccdc-55b9-49f8-8ba7-f24953ca310f,dde6deab-0d47-42f6-8b9b-fdaf1362c864,EMAIL,joão.nascimento65@hotmail.com,12/03/2021,true
36886da0-cfbb-4470-b06c-16286358ed43,f0e67532-20e7-4703-9efc-2b5d07545fdf,0b16c0ac-38b4-4a1d-a502-74ceac188141,aleatoria,35d1fc7d-65b0-440d-8158-5216445649db,2023-02-10 07:07:09,TRUE
3a1e9a7b-456a-4d8b-a7d3-da19001478e8,f0e67532-20e7-4703-9efc-2b5d07545fdf,0b16c0ac-38b4-4a1d-a502-74ceac188141,EVP,049b5799-d568-4e60-bc58-b0a34f56e517,2023-07-23 17:27:27,true
eab27ae6-a938-4696-a328-feef6036d713,f0e67532-20e7-4703-9efc-2b5d07545fdf,0b16c0ac-38b4-4a1d-a502-74ceac188141,telefone,+521816150444,30/12/2020,S
50ff7116-2d64-46e8-917d-481c942023f5,486669ea-9aab-4003-a5a5-21c185655368,632d0e85-738a-4e7d-9b80-eb1162901fae,EVP,b96efc37-ac39-4e34-9339-3ec72e877d1a,2020-12-11 01:55:57,true
ec28477d-61c6-4966-9bd7-4bc102464e98,4685e4be-e4f2-467f-bb31-6db1de026055,1810cdd3-afb6-49a5-80d1-1b295f66377b,email,gustavo.barbosa94@gmail.com,2023-01-22 23:53:08,TRUE
28ed4e6e-382a-4ba8-b13b-bb3e7877e1f5,4685e4be-e4f2-467f-bb31-6db1de026055,1810cdd3-afb6-49a5-80d1-1b295f66377b,email,gustavo.barbosa94@gmail.com,05/10/2023,sim
2b0db77b-4aab-4e7c-8216-3edb141bd760,4685e4be-e4f2-467f-bb31-6db1de026055,1810cdd3-afb6-49a5-80d1-1b295f66377b,aleatoria,608d591b-0566-46da-b895-e21e7589db65,13/03/2024,TRUE
9e60edce-fc8d-4004-801c-2252a4896d45,cc0ba199-6cc7-495a-9fa4-6389915443fe,05bb989a-e278-43a5-8f6a-8fcfa3f9d738,PHONE,(94) 91612-1993,2022-01-21 04:06:11,1
3386f848-ba6f-457b-829d-339cd7b2a371,cc0ba199-6cc7-495a-9fa4-6389915443fe,05bb989a-e278-43a5-8f6a-8fcfa3f9d738,PHONE,(94) 91612-1993,05/04/2022,sim
eee05fac-6400-4ab4-8d42-c178ab390972,5f38b214-86c5-42fb-a021-ae0891ac8212,44a320a4-729f-463e-8ba0-6b14786836af,EVP,765736f7-89b2-4c92-8816-9ece34c377a0,2024-08-30 07:17:56,true
b7b20ba6-f7d0-4bff-8639-12a94cc6c20a,5f38b214-86c5-42fb-a021-ae0891ac8212,44a320a4-729f-463e-8ba0-6b14786836af,CPF,833.421.344-43,2020-12-14 20:57:38,sim
4e8aa4b2-5734-46db-a746-2c1210d1f403,5f38b214-86c5-42fb-a021-ae0891ac8212,44a320a4-729f-463e-8ba0-6b14786836af,aleatoria,58e7db7e-6622-4595-a326-ed879ee9537b,03/04/2022,sim
d20435e4-d7cc-45ef-b306-416181a9e5bf,5f38b214-86c5-42fb-a021-ae0891ac8212,44a320a4-729f-463e-8ba0-6b14786836af,random,f8b4188e-1147-46eb-bce7-1bd671a8f256,28/02/2022,true
b2a49d4c-4e52-4780-b9b3-d1b95e2805ba,5f0fa291-3beb-4eac-9727-e8bda6cb5b21,f254f645-7774-4859-be97-b3f81cbf6ed2,CPF,926.769.641-11,05/01/2022,1
7f1cc436-207d-4789-8f62-bc87498c1547,5f0fa291-3beb-4eac-9727-e8bda6cb5b21,f254f645-7774-4859-be97-b3f81cbf6ed2,cpf,926.769.641-11,16/05/2022,1
b44c6054-0ebc-4a88-b5db-ffdc7a4e5aa5,8774c6bc-db83-45e4-a528-511ec6847de7,7d203836-ee85-4d3c-b8cd-f9128713a769,email,juliana.souza86@yahoo.com.br,2021-09-25 22:16:32,TRUE
21b2933e-c53e-4d89-90aa-2148753110b1,8774c6bc-db83-45e4-a528-511ec6847de7,7d203836-ee85-4d3c-b8cd-f9128713a769,random,292e0eab-1d82-45e4-8bed-0c1c2a71637f,2024-12-20 10:29:44,S
15c2579c-1a3e-4598-bbb8-d9ce48a13148,8774c6bc-db83-45e4-a528-511ec6847de7,7d203836-ee85-4d3c-b8cd-f9128713a769,EVP,afa69ed6-8f83-4f4c-a5d3-e15b581344a3,2024-06-05 04:00:25,true
f74e1ced-6263-4c10-9231-05077e785bf9,8774c6bc-db83-45e4-a528-511ec6847de7,7d203836-ee85-4d3c-b8cd-f9128713a769,email,juliana.souza86@yahoo.com.br,2021-06-15 05:15:33,1
